Number,title,artist,top genre,artist birth year,artist age,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Livin' On A Prayer,Bon Jovi,glam metal,1959,27,1986,123,89,53,-4,29,80,249,8,3,83
2,Africa,TOTO,album rock,1953,29,1982,93,37,67,-18,5,73,296,26,3,83
3,Another One Bites The Dust - Remastered 2011,Queen,glam rock,1948,32,1980,110,53,93,-6,16,75,215,11,16,82
4,Break My Stride,Matthew Wilder,new wave pop,1953,30,1983,110,59,92,-11,9,83,184,20,6,81
5,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1963,24,1987,119,82,71,-9,9,87,291,21,5,80
6,Summer Of '69,Bryan Adams,album rock,1959,25,1984,139,83,51,-6,7,77,216,2,4,80
7,You Give Love A Bad Name,Bon Jovi,glam metal,1959,27,1986,123,96,54,-3,34,81,223,7,5,80
8,Everybody Wants To Rule The World,Tears For Fears,dance rock,1958,27,1985,112,80,65,-12,10,54,251,35,5,80
9,I'm Still Standing,Elton John,glam rock,1947,36,1983,177,90,50,-7,14,77,183,36,18,79
10,Uptown Girl,Billy Joel,album rock,1949,34,1983,129,94,70,-3,60,79,198,7,5,77
11,Last Christmas,Wham!,dance rock,1963,21,1984,108,58,74,-9,18,94,265,19,3,78
12,Uptown Girl,Billy Joel,album rock,1949,34,1983,129,94,70,-3,60,79,198,7,5,77
13,Radio Ga Ga - 2011 Mix,Queen,glam rock,1948,36,1984,112,50,74,-8,19,66,348,18,4,76
14,Heaven,Bryan Adams,album rock,1959,25,1984,140,59,38,-7,12,34,243,5,3,76
15,9 to 5,Dolly Parton,classic country pop,1946,34,1980,105,78,55,-6,63,81,162,42,5,76
16,Eye of the Tiger,Survivor,album rock,1952.5,32.5,1985,109,60,82,-9,9,55,246,13,3,76
17,Right Here Waiting,Richard Marx,mellow gold,1963,26,1989,178,25,40,-14,10,13,264,80,3,75
18,Listen to Your Heart,Roxette,europop,1958.5,29.5,1988,86,58,54,-5,11,34,328,11,3,75
19,Born in the U.S.A.,Bruce Springsteen,classic rock,1949,35,1984,122,95,40,-6,10,58,279,0,6,75
20,Pour Some Sugar On Me - Remastered 2017,Def Leppard,album rock,1959.5,27.5,1987,85,95,27,-5,28,57,267,0,10,74
21,Against All Odds (Take a Look at Me Now) ,Phil Collins,mellow gold,1951,33,1984,116,50,58,-7,13,11,206,20,3,74
22,Maniac,Michael Sembello,hi-nrg,1954,29,1983,159,53,62,-12,4,84,245,9,7,73
23,Hungry Eyes,Eric Carmen,adult standards,1949,48,1997,110,55,71,-9,12,55,251,1,3,73
24,Panama - 2015 Remaster,Van Halen,album rock,1955,29,1984,141,98,53,-5,7,46,210,0,11,73
25,Forever Young,Alphaville,dance rock,1954,30,1984,137,48,49,-9,24,33,227,42,3,73
26,I Love Rock 'N Roll,Joan Jett & The Blackhearts,glam punk,1958,23,1981,94,72,54,-5,66,90,175,33,4,72
27,Sacrifice,Elton John,glam rock,1947,42,1989,113,42,76,-13,4,49,304,2,3,72
28,Material Girl,Madonna,dance pop,1958,26,1984,137,88,74,-3,10,98,240,33,3,72
29,The Winner Takes It All,ABBA,europop,1946.5,33.5,1980,126,79,45,-7,9,52,295,57,4,72
30,Smalltown Boy,Bronski Beat,dance rock,1958.5,25.5,1984,135,58,69,-11,12,94,302,29,3,71
31,(I Just) Died In Your Arms,Cutting Crew,album rock,1951,35,1986,125,73,63,-11,6,51,280,2,4,71
32,Brothers In Arms,Dire Straits,album rock,1949.5,35.5,1985,79,30,41,-14,18,14,424,53,3,71
33,Glory of Love,Peter Cetera,adult standards,1944,42,1986,145,59,52,-8,31,31,258,8,3,71
34,Super Trouper,ABBA,europop,1946.5,33.5,1980,118,63,76,-8,20,96,253,46,3,70
35,Flashdance...What a Feeling - Radio Edit,Irene Cara,dance rock,1959,24,1983,122,65,57,-7,9,40,237,1,3,70
36,Every Time You Go Away - Radio Edit,Paul Young,album rock,1956,35,1991,164,72,57,-9,22,84,267,19,4,70
37,Self Control,Laura Branigan,dance rock,1952,32,1984,107,69,81,-12,16,78,246,22,3,70
38,Say You Say Me,Lionel Richie,adult standards,1949,37,1986,128,41,64,-11,8,26,241,36,3,70
39,Heaven Is a Place on Earth,Belinda Carlisle,dance pop,1958,29,1987,123,85,64,-8,5,79,247,2,3,70
40,I Want To Break Free - Remastered 2011,Queen,glam rock,1948,36,1984,109,41,88,-11,12,78,199,8,4,70
41,Arthur's Theme (Best That You Can Do),Christopher Cross,adult standards,1951,30,1981,137,52,53,-11,18,52,234,17,4,70
42,Carrie,Europe,album rock,1963.333333,22.66666667,1986,137,49,46,-7,36,14,272,11,3,70
43,We Are The World,U.S.A. For Africa,,1953.5,31.5,1985,73,45,53,-15,7,29,427,19,4,69
44,Stuck On You,Lionel Richie,adult standards,1949,34,1983,132,32,51,-16,9,25,192,62,3,69
45,Hurts So Good,John Mellencamp,album rock,1951,31,1982,125,74,79,-5,11,97,219,4,4,69
46,How Am I Supposed to Live Without You,Michael Bolton,adult standards,1953,36,1989,140,44,54,-12,11,23,256,19,3,69
47,Hysteria,Def Leppard,album rock,1959.5,27.5,1987,107,85,66,-6,20,66,355,3,3,68
48,Nikita,Elton John,glam rock,1947,38,1985,87,66,63,-9,7,75,343,12,3,68
49,Dancing With Myself,Billy Idol,album rock,1955,30,1985,177,70,51,-11,30,91,360,2,8,68
50,I'll Be Over You,TOTO,album rock,1952,34,1986,82,28,52,-18,26,41,230,6,3,68
51,Kids In America,Kim Wilde,dance pop,1960,21,1981,160,78,56,-4,12,31,206,10,5,68
52,St. Elmos Fire (Man in Motion),John Parr,album rock,1952,33,1985,111,60,61,-11,22,47,252,15,3,68
53,One More Night - 2016 Remaster,Phil Collins,mellow gold,1951,34,1985,136,44,53,-9,10,34,289,79,3,68
54,Where Do Broken Hearts Go,Whitney Houston,dance pop,1963,24,1987,62,39,46,-12,7,25,278,63,3,67
55,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1942,38,1980,151,43,63,-16,11,95,264,23,4,67
56,Brother Louie,Modern Talking,eurodance,1955,31,1986,109,84,78,-9,14,83,223,40,5,67
57,Running Up That Hill (A Deal With God),Kate Bush,art pop,1958,27,1985,108,55,63,-13,6,20,299,72,6,67
58,End Of The Line,Traveling Wilburys,album rock,1943.4,44.6,1988,167,84,58,-7,6,93,210,16,5,67
59,Every Breath You Take,The Police,album rock,1949.666667,33.33333333,1983,117,48,82,-9,8,72,252,56,3,67
60,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,album rock,1944,38,1982,140,31,63,-12,7,24,233,61,3,67
61,Woman in Love,Barbra Streisand,adult standards,1942,38,1980,170,28,47,-16,13,33,232,25,3,67
62,Cheri Cheri Lady,Modern Talking,eurodance,1955,30,1985,114,62,68,-14,35,85,226,46,3,66
63,Higher Love - Single Version,Steve Winwood,album rock,1948,38,1986,99,89,70,-7,50,92,252,6,4,66
64,That's What Friends Are For,Dionne Warwick,adult standards,1940,45,1985,120,24,68,-16,7,17,256,51,3,66
65,Slave To Love,Bryan Ferry,album rock,1945,40,1985,148,82,66,-6,5,79,266,18,3,66
66,Big in Japan,Alphaville,dance rock,1954,30,1984,98,41,75,-15,34,24,286,7,4,65
67,Only You,Yazoo,dance rock,1960.5,21.5,1982,106,31,75,-17,8,85,194,33,4,65
68,Valerie,Steve Winwood,album rock,1948,34,1982,116,53,72,-11,8,73,247,57,3,65
69,Gold,Spandau Ballet,dance rock,1959.5,23.5,1983,143,74,71,-8,10,64,231,26,4,65
70,Nothing's Gonna Change My Love For You,Glenn Medeiros,soft rock,1970,16,1986,142,43,45,-13,6,39,232,57,4,64
71,Sledgehammer,Peter Gabriel,album rock,1950,36,1986,96,69,66,-5,4,42,314,2,3,64
72,Rhythm Of The Night,DeBarge,disco,1961,24,1985,115,76,71,-12,8,96,229,8,5,64
73,Jessie's Girl,Rick Springfield,album rock,1949,32,1981,132,59,72,-14,10,85,194,33,5,64
74,It's Raining Men,The Weather Girls,disco,1947.5,48.5,1996,136,93,68,-6,70,61,211,32,12,64
75,Sunshine Reggae,Laid Back,classic danish pop,1948,35,1983,168,79,70,-6,8,93,258,10,4,64
76,Wonderful Life,Black,dance rock,1962,25,1987,106,52,72,-12,21,82,288,71,3,64
77,The Riddle,Nik Kershaw,dance rock,1958,26,1984,102,66,58,-8,14,90,235,12,3,63
78,Papa Don't Preach,Madonna,dance pop,1958,28,1986,122,91,81,-9,2,97,345,31,4,63
79,Didn't We Almost Have It All,Whitney Houston,dance pop,1963,24,1987,131,49,54,-10,14,34,305,42,3,63
80,All Right,Christopher Cross,adult standards,1951,32,1983,133,65,71,-5,23,50,254,17,4,63
81,Biggest Part of Me,Ambrosia,adult standards,1951.25,28.75,1980,153,72,50,-8,35,88,324,24,5,63
82,Save a Prayer - 2009 Remaster,Duran Duran,dance rock,1960.2,21.8,1982,114,71,57,-9,16,67,333,35,3,62
83,Baby Come To Me,Patti Austin,adult standards,1950,31,1981,90,50,63,-12,14,70,215,55,8,62
84,Fame - Rerecorded,Irene Cara,dance rock,1959,21,1980,131,80,71,-7,8,94,319,7,3,62
85,Hard Habit to Break - 2006 Remaster,Chicago,adult standards,1946,38,1984,81,61,58,-6,17,40,284,45,3,61
86,Rock You Like a Hurricane,Scorpions,album rock,1948,36,1984,124,83,58,-6,32,67,254,0,4,61
87,When the Children Cry,White Lion,album rock,1961,26,1987,130,24,49,-14,7,38,259,67,3,61
88,Is This Love - 2017 Remaster,Whitesnake,album rock,1954.666667,32.33333333,1987,180,79,33,-7,12,53,285,11,4,60
89,I Knew You Were Waiting (For Me),George Michael,new wave pop,1963,23,1986,108,68,73,-11,31,68,242,27,4,60
90,You Keep Me Hangin On,Kim Wilde,dance pop,1960,26,1986,123,68,69,-12,14,71,255,8,3,60
91,Dancing with Tears in My Eyes,Ultravox,art rock,1950.5,33.5,1984,144,91,59,-8,60,93,244,15,4,59
92,In The Army Now,Status Quo,album rock,1949,37,1986,105,73,68,-8,14,94,281,11,2,59
93,Here I Go Again - 2017 Remaster,Whitesnake,album rock,1954.666667,32.33333333,1987,90,85,38,-6,9,27,276,15,4,58
94,Holiday,Madonna,dance pop,1958,25,1983,118,70,81,-9,5,73,232,3,5,58
95,I Think We're Alone Now,Tiffany,new wave pop,1971,16,1987,130,89,65,-5,9,70,227,0,4,58
96,Zulu Nation Throw Down,Afrika Bambaataa,bronx hip hop,1957,23,1980,108,95,85,-4,10,91,433,76,19,50
97,It's Only Love - 2008 Remaster,Simply Red,british soul,1960,24,1984,92,88,67,-5,4,75,299,51,4,50
98,Lucky Star,Madonna,dance pop,1958,25,1983,117,81,80,-5,22,93,338,20,4,46
99,Pump Up The Jam,Technotronic,eurodance,1956,33,1989,125,84,89,-9,5,72,320,1,7,46
100,Sweet Dreams,La Bouche,bubblegum dance,1941,42,1983,134,96,66,-6,9,83,205,8,5,62